Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
QuickSort,Paralela,50000,duplicates,1,2,2,3,1,557200,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,1,2,2,4,1,430300,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,1,2,2,5,1,500500,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,2,4,4,1,1,847600,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,2,4,4,2,2,240100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,2,4,4,3,2,395000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,2,4,4,4,2,392900,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,2,4,4,5,2,091300,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,3,8,8,1,3,021800,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,3,8,8,2,4,960100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,3,8,8,3,2,564800,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,3,8,8,4,3,722500,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,3,8,8,5,2,806000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,100000,random,0,1,1,1,51,393100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,100000,random,0,1,1,2,45,943800,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,100000,random,0,1,1,3,42,240600,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,100000,random,0,1,1,4,42,905100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,100000,random,0,1,1,5,39,697000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,1,2,2,1,41,189100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,1,2,2,2,36,949100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,1,2,2,3,39,283100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,1,2,2,4,38,528800,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,1,2,2,5,40,912400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,2,4,4,1,35,480000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,2,4,4,2,40,190900,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,2,4,4,3,36,138400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,100000,random,2,4,4,4,40,342000,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,random,2,4,4,5,34,992400,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,random,3,8,8,1,32,694000,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,random,3,8,8,2,28,743100,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,random,3,8,8,3,33,061500,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,random,3,8,8,4,29,052300,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,random,3,8,8,5,33,497300,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Serial,100000,sorted,0,1,1,1,30,255900,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Serial,100000,sorted,0,1,1,2,29,544500,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Serial,100000,sorted,0,1,1,3,27,853300,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Serial,100000,sorted,0,1,1,4,29,695400,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Serial,100000,sorted,0,1,1,5,31,340000,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,sorted,1,2,2,1,18,931200,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,sorted,1,2,2,2,23,461300,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,sorted,1,2,2,3,19,095500,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,sorted,1,2,2,4,22,506900,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,sorted,1,2,2,5,20,124400,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,sorted,2,4,4,1,19,725200,16,Mon Nov 03 16:19:24 GMT-03:00 2025
QuickSort,Paralela,100000,sorted,2,4,4,2,20,616900,16,Mon Nov 03 16:19:24 GMT-03:00 2025
