Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
MergeSort,Paralela,50000,reversed,1,2,2,5,2,795200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,2,4,4,1,2,575600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,2,4,4,2,3,448400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,2,4,4,3,3,081500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,2,4,4,4,3,139100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,2,4,4,5,2,926900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,3,8,8,1,3,723800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,3,8,8,2,3,792600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,3,8,8,3,6,406100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,3,8,8,4,3,580200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,3,8,8,5,3,433700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,duplicates,0,1,1,1,6,418500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,duplicates,0,1,1,2,5,958900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,duplicates,0,1,1,3,5,758200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,duplicates,0,1,1,4,6,043100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,duplicates,0,1,1,5,5,788400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,duplicates,1,2,2,1,5,854400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
